Title,Research Finding 研究发现功能段,Transition I 背景类过渡段,Background information
Does flattening government improve economic performance? Evidence from China,"7：The analysis yields several main findings. First, the adoption of PMC reforms reduces a county's GDP per capita by an average of 3.9%, which translates into a 0.44% drop in the annual growth rate. These findings indicate that in this context a flattened hierarchy is detrimental to economic performance.

8：Second, both de-jure and de-facto evidence suggests that the PMC reform is mostly a flattening initiative, with the fiscal authority moved from the prefectures to the province. The counties' fiscal revenue and transfers tend to increase after the elimination of the intermediate layer of city government in fiscal management. However, the enlarged span of control for the provincial government has weakened its monitoring and coordination capacity. In particular, total public expenditure and pro-growth investment in PMC counties have declined on average after the reform. More land was sold through negotiation instead of market mechanisms, and at lower prices in the affected counties, pointing to increased land corruption after the PMC reform. This, in turn, may have negatively influenced economic performance. These results demonstrate that such organizational change may well impose costs on the economies concerned that exceed the benefits, and they may also have implications for the design of an effective and productive organization.

9：Third, using alternative measures of performance, no significant effects on household income or income inequality are evident. Reassuringly, a negative and significant effect on consumption suggests that PMC reform does not in general improve social welfare.","3：Improving the economic development of counties has become a priority for policy makers in China because of its large county-level population and concerns about rural poverty and inequality. On 72% of the Chinese territory, counties directly administer 70% of the total population and yet generate only 37% of the national gross domestic product (GDP).1 Against this background, the PMC flattening reform we evaluate aims to relieve financial strain on county-level governments, improve administrative efficiency, and stimulate local economic growth.","""1"": ""The PMC reform aims to relieve financial strain on county-level governments, improve administrative efficiency, and stimulate local economic growth."",  ""2"": ""72% of the Chinese territory is administered by counties, which directly administer 70% of the total population and generate only 37% of the national GDP."",  ""3"": ""The PMC reform involves the removal of one layer in the fiscal hierarchy, with authority moved from prefectures to provinces."",  ""4"": ""The PMC reform leads to an increase in fiscal revenue and transfers for counties, but a decline in total public expenditure and pro-growth investment."",  ""5"": ""The PMC reform results in increased land corruption and lower land prices in affected counties."",  ""6"": ""The PMC reform does not have significant effects on household income or income inequality."",  ""7"": ""The PMC reform does not generally improve social welfare, as indicated by a negative and significant effect on consumption."""
On the road: Access to transportation infrastructure and economic growth in China,"7：The results show that being close to the line had a positive level effect. Per capita GDP was higher in places closer to the line. However, the effect is not large. The elasticity of per capita GDP with respect to distance from historical transportation networks is approximately ?0.07. The small level effect is consistent with independent data from a higher-quality household survey for rural areas, the National Fixed Point Survey (NFS) collected by the Chinese Ministry of Agriculture, which shows that distance has no significant effect on household income. For the estimates of the effect of proximity on growth, we find a precisely estimated zero effect. The estimated elasticity between distance to the line and annual per capita GDP growth is ?0.002 and statistically insignificant (the standard error is 0.003). Places close to the line grew exactly as fast as places further away.

8：Our finding that better access to transportation networks does not have a large impact on the (relative) economic performance of those areas is consistent with the Fogelian view that transportation infrastructure by itself does not contribute much to growth, excepting perhaps where there was already a demand for it. Based on similar logic, China scholars have criticized the tremendous amount of public investment in domestic transportation infrastructure after 1990 (Huang, 2008).

9：In assessing what general lessons one can learn from our results, one should consider whether our results are driven by conditions specific to the Chinese context. For example, one may be concerned that the marginal effect of access to infrastructure is especially low in China due to the massive public investment in infrastructure during recent years.3 We believe that this is highly unlikely to be driving our results because our data show large variation in access to infrastructure. The distance to the railroad for the counties that are the nearest the line (defined as the nearest decile) are only one-third of the distance of those furthest (defined as the furthest decile) from the line. Similarly, the nearest counties have more than twice the length of highway relative to the furthest counties (despite the fact that the latter are almost eight times as large). //局限性

10：Another concern for external validity is that the lack of factor mobility stems from the Chinese government's attempts to control labor mobility and that the empirical findings are not easily generalizable to the context of other developing countries.4 We acknowledge that the Chinese government may be unique in implementing an explicit policy for controlling migration for so long. However, it is important to note that the actual patterns of low levels of migration are not unique to China. In particular, the main policy effort has focused on unskilled low-wage rural workers (Meng, 2005), a group that has been found to be relatively immobile in other contexts such as in India (Munshi and Rosenzweig, 2009). Moreover, our simple theory predicts similar effects regardless of which factor (e.g., labor, capital) is immobile and the immobility of capital has been documented in several developing country contexts. For example, Chan et al. (2011) documents the immobility of capital in China during the period of our study. //局限性","2：Second, policymakers are typically concerned about the distributional effects of infrastructure, which are by no means obvious. On the one hand, for fixed factor endowments, the increased access to markets and ideas should benefit all regions. For example, in the historical context of the United States, it has been argued that transportation infrastructure gives rise to more cities, which then turned into “engines” of growth for the country as a whole.1 On the other hand, transportation infrastructure increases the access of rural regions to cities, and the well-known agglomeration effects of cities may cause productive capital and skilled labor to move from rural regions to cities over time, with the result that those who remain in rural areas receive very limited benefits from urbanization or even become impoverished. Along similar lines, it has been argued that the expansion of motor road networks in the United States promoted large-scale suburbanization and left many cities without a viable economic model (Glaeser and Gottlieb, 2009).","""1"": ""Transportation infrastructure is often mentioned as a key to promoting growth and development."",  ""2"": ""Policymakers must consider the question of causality: is infrastructure development a worthwhile object of policy?"","
Intergenerational mobility around the world: A new database,"We obtain the following empirical findings. First, for the youngest cohort born between 1980 and 1989, intergenerational mobility is lower in the average developing country when compared to the average high-income country. This observation holds true for all six measures of mobility. Second, we observe a convergence in mobility when using measures that are sensitive to changes in education inequality across generations (inequality-sensitive measures), but a divergence in mobility when using measures that are invariant to changes in inequality (inequality-invariant measures) are used.

Third, regarding the relationship between intergenerational mobility and national income, we similarly observe two distinct patterns. Inequality-sensitive measures of mobility show a monotonically increasing relationship, while inequality-invariant measures show a U-shape-pattern with high levels of mobility observed among the richest as well as the poorest countries (arguably for different reasons).4 Fourth, Sub-Saharan Africa stands out as a region where children have been least successful at surpassing their parents' education, despite the comparatively low levels of parental education. In the poorest countries, the scope for surpassing parents is greatest but the capacity to educate children is lowest. By contrast, in the world's richest countries, the capacity to educate children is greatest but the scope to surpass parents is lowest. In other words, for two individuals with the same parental education background, it greatly matters what country one is born into, which sits well with Milanovic (2015).

Fifth, the world as a whole is notably less mobile than the average country in it. This underscores the importance of the country in which one obtains his/her education. We furthermore observe a modest upward trend in global mobility measured by inequality-sensitive indicators, while global mobility measured by inequality-invariant indicators is more stagnant. This empirical pattern is consistent with a decline in global inequality over time (Lakner and Milanovic, 2016). Sixth, when intergenerational mobility is disaggregated by gender, girls are found to be catching up to boys in the average developing country. Girls have already overtaken boys in the average high-income country for selected measures of intergenerational mobility and if current time-trends prevail, girls are on track for also surpassing boys in the developing world in the coming decade(s).","A first large cross-sectional database of IGM was compiled by Chetty et al. (2014) which offers estimates of income mobility for 741 subnational regions of the United States. Corak (2021) and Connolly et al. (2021) obtain similarly disaggregated estimates of income mobility for Canada. This made it possible to characterize the variation in intergenerational mobility, establish how large differences in IGM can get, and build an understanding of what the determinants of IGM are. The subnational regions with comparatively high rates of mobility are found to be less residentially segregated, have lower inequality, higher quality public school systems, stronger social networks, and stronger family structures. If the geographic patterns observed across the regions of the United States and Canada are also observed across countries, then the least mobile countries are more likely to be found in the developing world.","""1"": ""Intergenerational mobility (IGM) is the extent to which an individual's success is independent of the success of his or her parents."",  ""2"": ""Low mobility could lead to unrealized human potential and a misallocation of resources and talent."",  ""3"": ""The paper offers estimates of intergenerational mobility in education for 153 countries representing 97 percent of the world's population born in the 1980s."",  ""4"": ""Estimates of mobility span four decades for 114 countries, from those born in the 1950s to those born in the 1980s."",  ""5"": ""The 1980s cohort represents the youngest generation of adults who would have completed their education at the time of data collection."",  ""6"": ""A first large cross-sectional database of IGM was compiled by Chetty et al. (2014) for income mobility in the United States."",  ""7"": ""The subnational regions with high rates of mobility are less residentially segregated, have lower inequality, higher quality public school systems, stronger social networks, and stronger family structures."",  ""8"": ""Cross-country evidence on IGM is scarcer and biased towards high-income countries."",  ""9"": ""The Global Database on Intergenerational Mobility (GDIM) expands the evidence base on intergenerational mobility in education globally."",  ""10"": ""Education mobility does not capture distortions in the labor market."",  ""11"": ""Measuring intergenerational mobility in education faces methodological challenges due to bounded educational outcomes and bunching."",  ""12"": ""Six different measures of intergenerational mobility are considered in the paper."",  ""13"": ""For the youngest cohort born between 1980 and 1989, intergenerational mobility is lower in developing countries compared to high-income countries."",  ""14"": ""There is a convergence in mobility when using measures sensitive to changes in education inequality, but a divergence when using measures invariant to changes in inequality."",  ""15"": ""Inequality-sensitive measures of mobility show a monotonically increasing relationship with national income, while inequality-invariant measures show a U-shape pattern."","
TV in times of political uncertainty: Evidence from the 2017 elections in Kenya,"First, I find no evidence that exposure to the signal changed voters’ likelihood of turning out in the first election — i.e. in normal times. However, it had a sizable impact on the repeat election. Based on the stark political divides across the territory, which largely interact with ethnic belongings (Horowitz and Long, 2016), I split the sample between polling centers that voted in favor of the opposition or the incumbent President in 2013. Strikingly, the sign of the estimates is opposite in the two political camps. In pro-opposition polling centers, moving from an area without TV to an area with TV lowers participation by 4 percentage points. Conversely, I find that TV has a positive and large effect on remobilization, ＋7 percentage points, among supporters of the incumbent and final winner of the election. Moreover, as the incumbent’s win margin in the previous poll increases, the effect of signal reception grows larger. The estimates suggest that a 10-percent increase in the incumbent’s score adds 1.5 percentage points to the baseline coefficient.

Turning to the possible impact of exposure to TV on involvement in the electoral protests, I find that it has no effect on average, but tend to decrease slightly the probability of conflict in the surroundings of pro-incumbent’s polling centers. Yet, I find no effect at the intensive margin, that this to say on the number of demonstrations.

These findings are corroborated with a series of robustness checks. The results are similar when the sample is restricted to areas that got access to the signal after 2016, which suggests that they are not driven by more urbanized places. This also indicates that the treatment effect is not contaminated by the larger penetration of the Internet and social media in bigger cities – in rural areas in 2016, 77% of the population never get access to news through the Internet (Afrobarometer) –, nor by the higher likelihood to be directly exposed to urban riots.2 Moreover, a placebo test confirms that the results are not spurious as I find no effect of being granted access to the signal in 2018, i.e. just after the 2017 election on mobilization.

In the last part of the paper, I delve into the potential channels of transmission and investigate various mechanisms that could account for the difference between the August and October elections, as well as the opposite effects in the two political camps. I argue that television played a predominantly informative role leading up to the repeat election. Given the unexpected decision by the Supreme Court and the exceptional circumstances surrounding it, voters required clear and comprehensive information to grasp the unfolding events and the need for a subsequent vote. Employing text analysis tools, I examine the content of news bulletins from the five most popular Kenyan channels and provide an overview of the TV coverage in 2017 and at the time of the repeat election. The analysis reveals a notable emphasis on the election, especially in the vocabulary employed, as well as a decline in the diversity of news topics covered, suggesting a significant focus on the prevailing context. Additionally, I document that the content heavily focused on protests and the climate of crisis. By comparing the impact of television exposure alongside physical proximity to the protests, I find no exacerbating effect of being in close proximity to demonstrations. Furthermore, exposure to protests without television does not significantly influence turnout, implying that the effect of television was primarily to disseminate information regarding the scheduling of the repeat election.

Furthermore, I explore the potential variations in editorial choices among different channels. This undertaking poses challenges due to the lack of reliable data on audience and viewership in Kenya. Computing the cosine similarity index between pairs of TV centers, I find that channels exhibited distinct editorial stances in 2016, i.e. prior to the start of the electoral season. However, in 2017, the cosine similarity matrix suggests a convergence among the channels, thereby reinforcing the notion of increased emphasis on the election. However, the state-owned station KBC TV stands out as the most distinct channel compared to others, and this distinctiveness appears to be even more pronounced in the four weeks preceding the repeat election. Based on the assumption that pro-government voters may be more inclined to watch this channel, it is plausible that they have been exposed to the incumbent’s call for remobilization and have shown their trust in their leader through this channel.

Last, TV’s collective dimension in Kenya may help explain the observed effect of media exposure. Limited ownership of TV sets leads people to rely on public places like cafes and restaurants to watch news broadcasts. This assumption suggests that TV viewing is a social experience, which could contribute to the consolidation of social coordination mechanisms. In line with this assumption, I find a positive a correlation between the availability of TV signal and the likelihood of individuals frequenting restaurants or cafes, after considering household characteristics and regional fixed-effects. These correlations provide descriptive evidence of the potential link between TV exposure in public places and collective behavior.","In this paper, I compare two elections that took place in a three-month window to investigate how political context influences voters’ choices. More precisely, I focus on a specific case study: the electoral crisis that occurred in Kenya in 2017, which pitted the incumbent President against the leader of the opposition in the race for the presidential mandate. The presidential election took place in August 2017 and resulted in a victory for the incumbent. However, the Supreme Court decided to nullify the election result and ordered the electoral commission to schedule a repeat ballot.1 The ruling marked a breakthrough in Kenyan politics, and the debate around the nullification and the organization of new polls was accompanied by with a wave of opposition-led protests. While the first election was organized in a normal electoral context, the legal dispute and the riots dramatically fed a climate of crisis throughout the country. The level of political uncertainty, measured for example, by the World Uncertainty Index, rose sharply before the repeat election and reached its highest level for ten years.",
Evaluating the impact of general versus vocational education on labor market outcomes in Egypt by means of a regression discontinuity design,"The results suggest that male upper-secondary general education graduates aged 25–49 experience no advantage in terms of employment probability compared to vocational education graduates. Often, young men in developing countries cannot afford not to work (Fields, 2004), which also holds true in our sample, where approximately 90% of the observed men are employed independent of their highest education degree.7 However, a high level of employment alone is no guarantee of being able to make a living from it. Especially in countries with a large informal sector, such as Egypt, it is also important to account for the quality of employment.8 We do so using wages for those in wage employment. Wages are a central measure of employment quality contributing directly to workers’ material well-being (Cazes et al., 2015). In addition, we account for employment quality by using two measures for formal employment, namely, public sector and formal private sector employment, which are often associated with good working conditions and wages (Assaad, 1997, Krafft and Assaad, 2015, World Bank, 2014). We find that, conditional on wage employment, male general upper-secondary education graduates do not earn higher wages than vocational education graduates. This result likely reflects the low power of the first stage in the sample of male wage-earning upper-secondary graduates. Regarding job formality, we show that among employed male upper-secondary education graduates, general graduates are not more likely to have a public sector job. In contrast, conditional on private sector employment, male upper-secondary general education graduates are more likely to have formal jobs. Given this finding, it is surprising that our results do not suggest higher wages for general upper-secondary graduates, as formal private-sector jobs in developing countries are often associated with high productivity levels and high wages (Günther and Launov, 2012, La Porta and Shleifer, 2008). However, crony capitalism may limit the productivity of formal private-sector jobs in Egypt (Chekir and Diwan, 2014). Moreover, formal private sector jobs offer job security, and benefits such paid sick leave (World Bank, 2014).9 An analysis by age shows no statistically significant differences in the short or long term for any of the four outcomes, which is in contrast to the results of other studies in this area. (e.g. Hanushek et al., 2017, Brunello and Rocco, 2017). We confirm these findings through several robustness checks. Our findings on employment and wages are in line with some studies that demonstrate a neutral long-term effect, while our finding of a relative advantage of general education in terms of job quality contradicts the rest of the literature, where employment quality is often measured in terms of wages. The reasons for this difference could be the relatively low quality of vocational education in Egypt, low permeability of Egypt’s education system (Assaad, 2010, Krafft, 2018), or lack of work-based training. Involving the business sector could improve the labor market outcomes of vocational upper-secondary graduates (Bolli et al., 2021).","A common view in the literature is that vocational education has a short-term advantage over general education as it provides for relatively quicker and smoother labor market integration (Hanushek et al., 2017). However, in the long term, vocational skills may become obsolete relatively quickly, lowering labor market attachment, labor market mobility, and earning options (Blundell et al., 1999, Acemoglu and Pischke, 1999, Muehlemann and Wolter, 2020). In addition, vocational education may not grant equal access to higher education, where general education does. In developing countries, quality differences between vocational and general education tracks, the lower permeability of education systems, and the scarcity of formal jobs for which vocational and general education graduates compete may further influence the trade-off between vocational and general education.","""1"": ""Vocational education has become an important topic on the agenda of policymakers to provide the youth with a valid alternative to university education."",  ""2"": ""Vocational education is seen to have a short-term advantage over general education in terms of labor market integration."",  ""3"": ""Vocational skills may become obsolete in the long term, leading to lower labor market attachment, mobility, and earning options."",  ""4"": ""Vocational education may not grant equal access to higher education compared to general education."",  ""5"": ""Quality differences between vocational and general education tracks, lower permeability of education systems, and scarcity of formal jobs may influence the trade-off between vocational and general education."",  ""6"": ""Limited experimental or quasi-experimental studies have evaluated the causal impact of vocational versus general education on labor market outcomes, with most focusing on developed countries."",  ""7"": ""Existing evidence suggests a short- to medium-term advantage of vocational education over general education in developed countries, but the long-term impact is neutral to positive."",  ""8"": ""Experimental and quasi-experimental studies in the US indicate a positive short- to medium-term impact of vocational education on labor market outcomes."",  ""9"": ""Studies using difference-in-differences estimation or regression discontinuity designs do not indicate a relative advantage of vocational education in the long term, except for one study."",  ""10"": ""Only two quasi-experimental studies exist in the context of developing countries, both using an instrumental variable approach."",  ""11"": ""The current study applies a regression discontinuity design based on test scores to evaluate the causal impact of general versus vocational education in Egypt."",  ""12"": ""The study is the first to apply this identification strategy in a developing country."",  ""13"": ""The study estimates the long-term impacts of general versus vocational education approximately 17 years after program exit."",  ""14"": ""The study evaluates the impact of general versus vocational education on employment probability, wages, public-sector employment, and formal employment in the private sector."",  ""15"": ""The study focuses on male upper-secondary education graduates aged 25-49 in Egypt."","
Illegal markets and contemporary slavery: Evidence from the mahogany trade in the Amazon,,"There are two primary reasons why illegal markets are more prone to the use of slave labor than legal ones. Firstly, it is virtually impossible for an agent in the illegal market to formally employ anyone. As a result, agents resort to informal labor, where there are no institutions mediating employer–employee relationships; this is particularly true in rural, poor, and isolated sites, where workers generally have little bargaining power to set favorable work conditions. Secondly, modern slavery often involves violence and life threats, where perpetrators hold enslaved individuals as prisoners (Sakamoto, 2006). This is supported by empirical evidence, such as Chimeli and Soares (2017), which found that the shutdown of the mahogany market increased homicides. Additionally, there is plenty of anecdotal evidence which indicates how violence is used in the illegal mahogany market, with loggers having access to illegal weapons and frequently threatening those who resist the logging. Therefore, the cost of committing further crimes is much lower in an illegal and unregulated market than in a legal one.","""1"": ""The 1948 Universal Declaration of Human Rights declared that 'slavery and the slave trade shall be prohibited in all their forms'"",  ""2"": ""An estimated 49.7 million people were living in modern slavery in 2022, with 27.7 million in forced labor"",  ""3"": ""Workers in illegal markets, such as lumber mills and charcoal mines, are often in vulnerable positions and recruited from disadvantaged regions"",  ""4"": ""Illegal markets involve the use of violence and provide less security for workers"",  ""5"": ""Limited empirical evidence exists on how market illegality affects workplace relations and forced labor"""
Robots and Jobs: Evidence from US Labor Markets,"Using this strategy, we estimate a negative relationship between a commuting zone’s exposure to robots and its post-1990 labor market outcomes. Our estimates imply that between 1990 and 2007 the increase in the stock of robots (approximately one additional robot per thousand workers from 1993 to 2007) reduced the average employment-to-population ratio in a commuting zone by 0.39 percentage points and average wages by 0.77% (relative to a commuting zone with no exposure to robots). These estimates are sizable but not implausible. For example, they imply that one more robot in a commuting zone reduces employment by about six workers; this estimate includes both direct and indirect effects, the latter caused by the decline in the demand for nontradables as a result of reduced employment and wages in the local economy. To understand the aggregate implications of these estimates, we need to make additional assumptions about how different commuting zones interact. Greater use of robots in a commuting zone generates benefits for the rest of the US economy by reducing the prices of tradable goods produced using robots and by creating shared capital income gains. Our model enables us to quantify these positive spillovers across commuting zones and leads to smaller but still negative aggregate effects. With our preferred specification, our estimates imply that one more robot per thousand workers reduces the aggregate employment-to-population ratio by about 0.2 percentage points and wages by about 0.42% (compared with its larger local effects, 0.39 percentage points and 0.77%, respectively), or equivalently, one new robot reduces employment by about 3.3 workers. We verify that our measure of exposure to robots is unrelated to past trends in employment and wages from 1970 to 1990, a period that preceded the onset of rapid advances in robotics technology. Several robustness checks further bolster our interpretation. First, our results are robust to including differential trends by various baseline characteristics, linear commuting zone trends, and controls for other changes affecting demand or productivity in various industries. Second, we show that the automotive industry, which is the most robot-intensive sector, is not driving our results. Third, consistent with our theoretical emphasis that robots (and more generally, automation technologies) have very different labor market effects than other types of machinery and overall capital deepening, we find no negative employment and wage effects from capital, other IT technologies, or overall productivity increases. The employment effects of robots are most pronounced in manufacturing and particularly in industries most exposed to robots. They are also concentrated in routine manual, blue-collar, assembly, and related occupations. Consistent with the presence of spillovers on nontradables, we estimate negative effects on construction and retail as well as personal services.","Robotics technology advanced significantly in the 1990s and 2000s, leading to a fourfold rise in the stock of (industrial) robots in the United States and western Europe between 1993 and 2007. As figure 1 shows, the increase amounted to one new robot per thousand workers in the United States and 1.6 new robots per thousand workers in western Europe. The automotive industry employs 38% of existing robots, followed by the electronics industry (15%), plastics and chemicals (10%), and metal products (7%).","""1"": ""The identification strategy is based on the measure of exposure to robots in local labor markets"",  ""2"": ""The measure of exposure is constructed using data on the increase in robot usage across industries and their baseline employment shares"",  ""3"": ""The authors exploit adoption trends in European economies to focus on the component of investment in robots driven by technological advances"",  ""4"": ""The assumption is that commuting zones with greater advances in robotics technology are not differentially affected by other labor market shocks or trends"","
"Top earnings inequality and the gender pay gap: Canada, Sweden, and the United Kingdom","Our findings indicate that the under-representation of women in top income groups accounts for a substantial share, often a majority share, of the gender pay gap in annual earnings in the three countries under study. In light of these findings, we discuss the public policies and private sector initiatives likely to be most effective in improving the under-representation of women among top earners. For that purpose, we extend our analysis beyond the three countries of interest above and consider a set of forty countries for which information on the percentage of women on corporate boards is available over several years.","Interestingly, countries with the largest increases in top income shares are also countries that have among the highest rates of female labour force participation as shown in Fig. 1. For more than 20 years, women have represented more than 45% of the labour force.1 These countries thus have a long standing tradition of high female labour force participation. One would think that this would have opened opportunities for women to advance in career ladders. Yet, the numbers celebrated in terms of the percentage of women on British boards (FTSE 100) in 2015 were around 25% (Davies, 2015). In Canada, that percentage was about 21% for companies on the S & P/ TSX 60 index in 2014 (CSA, 2015). In the same year in Sweden, women held 29% of board seats for companies in the OMX Stockholm 30 index.","""1"": ""Since the 1980s, many industrialized countries have seen stupendous increases in top income inequality."",  ""2"": ""The United States has witnessed a doubling of the income share accruing to the top 1% from 10 percent in 1980 to numbers now in the 20 percent range."",  ""3"": ""Canada and the United Kingdom also experienced increases in top income shares, with their top 1% income share increasing by 5 percentage points."",  ""4"": ""Sweden experienced a doubling of the income share of the top 1%, going from 5 percent in 1990 to 10 percent in 2007."",  ""5"": ""Countries with the largest increases in top income shares, including Canada, Sweden, and the United Kingdom, also have high rates of female labor force participation."""
Did the minimum wage reduce the gender wage gap in Germany,"We are able to identify a significant effect on the wage gap at the regional level, especially for low-paid employees. Between 2014 and 2018, the gap at the 10th percentile was reduced by 4.6 percentage points (or 32%) in regions that were strongly affected by the minimum wage compared to less affected regions. For the gap at the 25th percentile, the effect still amounted to 18%, while for the mean it was smaller (11%) and not particularly robust. Using a continuous bite measure, we can show that an increase in a region’s bite by ten percentage points, reduces the wage at the 10th percentile by 3.3 percentage points. This thus shows that the minimum wage reform led to a significant decrease in the wage gap especially at the bottom of the wage distribution.","In this context, Germany poses an interesting case study. On the one hand, it is a country with a relatively high gender wage gap, especially at the bottom of the wage distribution. In 2014, the difference between the earnings of full-time employed men and full-time employed women amounted to 17.2 percent in Germany, placing it in the upper third of countries with the highest gaps, above the OECD average (see Fig. 1a).2 At the first decile of the wage distribution, Germany even shows a wage difference of 18.2% in 2014, placing it among the eight countries with the highest gaps among low-income earners, and well above the United States and the United Kingdom (see Fig. 1b). It is thus evident that Germany suffers from high gender wage discrepancies in an OECD comparison, especially among low-wage earners.3 On the other hand, Germany introduced a nationwide minimum wage in 2015, which was set at a comparably high level and had only few exemptions.4 With € 8.50 gross per hour, it ranked among the highest wage floors in Europe in terms of purchasing power (Caliendo et al., 2019). Its level is to be re-evaluated every two years, and it was increased to € 8.84 in January 2017, being followed by additional increases in 2019 and the subsequent years (Mindestlohnkommission, Mindestlohnkommission, Mindestlohnkommission). Caused by its high initial value, the reform affected about four million employees, i.e. about ten percent of the eligible workers (Destatis, 2016). Among them, women were vastly overrepresented, since they accounted for two-thirds of affected employees (Burauel, Caliendo, Fedorets, Grabka, Schr?der, Schupp, Wittbrodt, 2017, Mindestlohnkommission). This has been attributed to insufficient regulations of the low-pay sector and gender segregation, which lead to an unequal coverage of collective bargaining agreements for men and women (Grimshaw, Rubery, 2013, Herzog-Stein, Lübker, Pusch, Schulten, Watt, 2018). Accordingly, the introduction of the wage floor could have an influence on gender inequality. In a simulation study, Boll et al. (2015) predict that in the absence of job losses, the minimum wage could reduce the average gender wage gap in Germany by 2.5 percentage points; and with job losses, the effect could even be larger. This points to a potential caveat, namely that low-paid women quitting or losing their jobs could cause a decrease in the gap. However, since all ex-post evaluation studies find only small employment effects and no strong evidence of gender-specific job-losses (see, e.g., Bonin, Isphording, Krause, Lichter, Pestel, Rinne, Caliendo, Obst, Preuss, Schr?der, Grabka, Caliendo, Schr?der, Wittbrodt, 2019, Pestel, Bonin, Isphording, Gregory, Caliendo), this does not seem to be an issue in Germany.","""1"": ""The gender wage gap in Germany is relatively high, especially at the bottom of the wage distribution."",  ""2"": ""Germany introduced a nationwide minimum wage in 2015, which had a high initial value and affected about four million employees, with women being overrepresented among the affected employees."",  ""3"": ""The introduction of the minimum wage in Germany could potentially reduce gender inequality and the gender wage gap."",  ""4"": ""Simulation studies predict that the minimum wage could reduce the average gender wage gap in Germany by 2.5 percentage points."",  ""5"": ""Ex-post evaluation studies find no strong evidence of gender-specific job losses due to the minimum wage introduction in Germany."",  ""6"": ""The analysis uses data from the Structure of Earnings Survey (SES) in 2014 and 2018, which provides detailed wage information for over one million employees."","
Earnings inequality and working hours mismatch,"To preview our results, earnings inequality in terms of the MLD increases significantly from 0.19 to 0.29 during the post-unification and Hartz reforms periods and plateaus at a high level thereafter. The MLD decomposition reveals that only 10% of the increase in earnings inequality result from rising wage inequalities, but that rising working hours inequalities and especially the increasing covariance between working hours and wages play the predominant role. Since the 2000s, in contrast to earlier years, low wages are more often connected to low working hours. This changing pattern turns out to be the main driver of rising earnings inequality in Germany. With regard to the changing composition of the work force, rising wage inequality among male service sector employees is the most important contributor to increased inequality in hourly wages. Increasing inequality in hours can be fully attributed to rising working hours inequality among male and female service sector employees. These two subgroups are also responsible for the increased covariance between hours and wages.

Turning to the counterfactual earnings distribution, we also find an increase in earnings inequality, which mostly occurs in the post-unification and the Hartz reforms period. However, this increase is only about half the size of what is observed for the actual earnings distribution, with the MLD of counterfactual earnings increasing from 0.20 to 0.25. The MLD decomposition reveals that the attenuated increase in counterfactual earnings inequality is due to lower growth in the contributing factors of hours inequality and the covariance. The differences of inequalities in counterfactual and actual earnings are most pronounced—and rising—among female service sector employees. Here, inequality in counterfactual earnings and its three components remain constant over time. In other words, the inability to realize optimal working hours—particularly in the growing group of female service sector employees—contributes significantly to rising earnings inequality.

Our study also reveals changes in patterns of mismatch between desired and actual working hours. The share of overemployed people, those who work more hours than they would prefer, increases by seven percentage points among employees in the top quintile of hourly wages. At the same time, the share of underemployed people, those who prefer longer working hours, almost triples among employees in the bottom quintile. Additionally, we find increasing shares of underemployment among male and female employees in the service sector. These results also hold true after controlling for a broad set of control variables in multivariate regressions. Moreover, the regressions reveal that children are a major statistical explanation for underemployment among women, but not among men. This contradicts the notion that reduced working hours among mothers fully reflect their own choices and preferences.","Germany is a particularly interesting context in which to investigate the connection between working hours mismatch and earnings inequality. We focus on developments in four key periods (see Fig. 1). First, after reunification, Germany experienced a phase of rising unemployment, particularly in the East (Snower and Merkl, 2006). Second, to fight persistently high unemployment, Germany introduced the Hartz labor market reforms5 between 2003 and 2005. In the years that followed, unemployment decreased markedly and the percentage of marginally employed people increased sharply (Fahr, Sunde, 2009, Jacobi, Kluve, 2007). Third, in contrast to many other countries, Germany showed a positive development in employment even within and after the Great Recession, which has been referred to as the “German labor market miracle” (Burda and Hunt, 2011). Fourth, a statutory minimum wage was introduced in 2015, which targeted between 10 and 14% of German employees and affected both wages and working hours6 (Caliendo et al., 2019). We structure our results around the four periods outlined above: post-unification (1993–2002), Hartz reforms (2003–2007), post-recession (2008–2014), minimum wage (2015–2018).",
